model,params,config,batch_size,bpt,tokens_per_sec,energy_total_J,energy_per_token_J,energy_per_bit_J,mean_power_W,temp_K,E_landauer_J,phi,log10_phi,elapsed_time_s
EleutherAI/pythia-70m,70426624,fp32,1,9.738802408376369,238760.40302840553,2.706897759437561,0.0002706897759437561,2.7794975664660278e-05,64.63,320.15,3.0638129668598445e-21,9072021029125624.0,15.957704048253266,0.041882991790771484
EleutherAI/pythia-70m,70426624,fp16,1,9.811453383545645,859101.2248576462,0.7463614082336426,7.463614082336426e-05,7.6070422908529775e-06,64.12,320.15,3.0638129668598445e-21,2482867711944430.0,15.394953580809878,0.011640071868896484
EleutherAI/pythia-70m,70426624,int8,1,9.817088911049119,73312.12551300785,45.84712251186371,0.004584712251186371,0.00046701341841024624,336.115,331.15,3.169082192646065e-21,1.4736551153326432e+17,17.168395855956206,0.13640308380126953
EleutherAI/pythia-70m,70426624,int4,1,10.307379803851227,478637.9093917608,6.240207767486573,0.0006240207767486572,6.0541164546541643e-05,298.68,335.15,3.207361911113781e-21,1.8875688564100416e+16,16.2759028031693,0.020892620086669922
EleutherAI/pythia-70m,70426624,fp16_compiled,1,9.805817856042173,281095.0788470174,11.191231141090393,0.0011191231141090394,0.0001141284827577595,314.58,334.15,3.1977919814968517e-21,3.5689777014306348e+16,16.552543834541293,0.035575151443481445
EleutherAI/pythia-70m,70426624,fp16_batch_bs1,1,9.811453383545645,587157.9359968642,5.15738579750061,0.000515738579750061,5.2564952366280754e-05,302.82,333.15,3.188222051879923e-21,1.648723066051376e+16,16.21714771387008,0.017031192779541016
EleutherAI/pythia-70m,70426624,fp16_batch_bs8,8,9.811453383545645,547211.9036708095,46.8527819442749,0.0005856597743034362,5.969143932188684e-05,320.48,334.15,3.1977919814968517e-21,1.866645474980081e+16,16.271061841848258,0.146195650100708
EleutherAI/pythia-160m,162322944,fp32,1,12.13808421542117,52069.714233219165,57.9991660118103,0.00579991660118103,0.00047782800796622937,302.0,337.15,3.2265017703476386e-21,1.4809476082039958e+17,17.170539694665454,0.19205021858215332
EleutherAI/pythia-160m,162322944,fp16,1,12.10511307745896,215745.2805925621,14.433224177360534,0.0014433224177360534,0.00011923246057268784,311.39,335.15,3.207361911113781e-21,3.717462010119196e+16,16.570246539028584,0.046350955963134766
EleutherAI/pythia-160m,162322944,int8,1,12.206552572521463,73832.07149609127,42.59869642376899,0.004259869642376899,0.00034898220583315387,314.515,336.65,3.221716805539174e-21,1.0832181315041115e+17,17.034715920863114,0.13544249534606934
EleutherAI/pythia-160m,162322944,int4,1,12.75883426786177,220389.7789431095,14.034679896831513,0.0014034679896831512,0.00010999970375180332,309.31,337.15,3.2265017703476386e-21,3.4092559552493736e+16,16.532659607793736,0.045374155044555664
EleutherAI/pythia-160m,162322944,fp16_compiled,1,12.138926242479794,108514.53999793025,29.818123912811277,0.0029818123912811276,0.0002456405395105185,323.57,336.15,3.2169318407307097e-21,7.635863974498213e+16,16.882858183256072,0.09215354919433594
EleutherAI/pythia-160m,162322944,fp16_batch_bs1,1,12.10511307745896,215452.70554876357,14.831561255455018,0.0014831561255455017,0.00012252311201514508,319.55,336.15,3.2169318407307097e-21,3.808694684290066e+16,16.580776159785497,0.04641389846801758
EleutherAI/pythia-410m,405334016,fp32,1,11.208666580518035,22671.153723496835,187.48384188294412,0.01874838418829441,0.0016726685599588878,425.0475,340.15,3.255211559198426e-21,5.138432724080063e+17,17.71083067481683,0.4410891532897949
EleutherAI/pythia-410m,405334016,fp16,1,11.214699731910303,88138.77593905963,36.34722590446472,0.003634722590446472,0.0003241034247314026,320.36,335.15,3.207361911113781e-21,1.0104984523522486e+17,17.004535652700017,0.11345744132995605
EleutherAI/pythia-410m,405334016,int8,1,11.209064204406829,36042.426268332485,94.64864105621974,0.009464864105621975,0.0008443937810527373,341.1366666666667,336.4833333333333,3.220121817269686e-21,2.6222417317388682e+17,17.418672724700066,0.2774507999420166
EleutherAI/pythia-410m,405334016,int4,1,11.180886566889466,84586.79702656809,38.833483657836915,0.0038833483657836915,0.0003473202543064564,328.48,335.15,3.207361911113781e-21,1.0828845136027907e+17,17.03458214288627,0.11822175979614258
EleutherAI/pythia-410m,405334016,fp16_compiled,1,11.209064204406829,42731.30437174559,89.11265537023543,0.008911265537023544,0.0007950053077151695,380.78999999999996,338.15,3.236071699964568e-21,2.4566986810702435e+17,17.390351892673266,0.23402047157287598
EleutherAI/pythia-410m,405334016,fp16_batch_bs1,1,11.214699731910303,85591.22845324555,35.78520901441574,0.003578520901441574,0.00031909199416719575,306.29,335.15,3.207361911113781e-21,9.948736781512398e+16,16.99776794068077,0.11683440208435059
EleutherAI/pythia-1b,1011781632,fp32,1,8.899423882575345,11884.618185434776,429.3016094146456,0.04293016094146456,0.004823925852719501,510.2085714285714,343.15,3.2839213480492133e-21,1.4689529198332093e+18,18.167007876808434,0.841423749923706
EleutherAI/pythia-1b,1011781632,fp16,1,8.8984979279831,48084.70732820192,73.92683032751084,0.0073926830327510846,0.000830778755311424,355.475,336.15,3.2169318407307097e-21,2.5825189853034525e+17,17.412043522905005,0.20796632766723633
EleutherAI/pythia-1b,1011781632,int8,1,8.887226872976154,76555.15806380959,18.292039823532104,0.0018292039823532104,0.00020582393231294283,140.035,325.15,3.11166261494449e-21,6.614596689384803e+16,16.820503369171377,0.13062477111816406
EleutherAI/pythia-1b,1011781632,int4,1,8.999937423045605,77006.61687486689,16.683631253242492,0.0016683631253242492,0.00018537496950280687,128.475,322.15,3.0829528260937025e-21,6.012903211940766e+16,16.779084213182212,0.12985897064208984
EleutherAI/pythia-1b,1011781632,fp16_compiled,1,8.8984979279831,36465.73999047126,87.43366607030232,0.008743366607030232,0.0009825665722228215,318.8333333333333,334.15,3.1977919814968517e-21,3.072640678030885e+17,17.487511775787592,0.2742300033569336
EleutherAI/pythia-1b,1011781632,fp16_batch_bs1,1,8.8984979279831,77872.16819466259,11.052729363441467,0.0011052729363441466,0.00012420893338283484,86.07,321.15,3.0733828964767737e-21,4.0414402489590184e+16,16.606536162315763,0.12841558456420898
EleutherAI/pythia-1.4b,1414647808,fp32,1,9.335282954309978,8164.467247753961,622.0626338353158,0.06220626338353157,0.006663564852612395,507.88100000000003,342.15,3.2743514184322845e-21,2.0350793183349944e+18,18.308581340757254,1.2248196601867676
EleutherAI/pythia-1.4b,1414647808,fp16,1,9.332433545750483,32709.50620335977,116.46970892747244,0.011646970892747244,0.0012480100539318262,380.9666666666667,340.15,3.255211559198426e-21,3.8338830863550394e+17,17.58363886500395,0.3057215213775635
EleutherAI/pythia-1.4b,1414647808,int8,1,9.338069073253955,20964.413063971315,174.97747200489044,0.017497747200489043,0.0018738078571945878,366.83,336.9,3.2241092879434065e-21,5.811862098476977e+17,17.76431530098369,0.47699880599975586
EleutherAI/pythia-1.4b,1414647808,int4,1,9.39442434828868,32433.12795387623,113.35529129028322,0.011335529129028321,0.0012066230679789593,367.6466666666667,333.15,3.188222051879923e-21,3.784626818158662e+17,17.57802306248744,0.30832672119140625
EleutherAI/pythia-1.4b,1414647808,fp16_compiled,1,9.332433545750483,16504.482723884357,275.9880498046874,0.027598804980468742,0.0029572999202374,455.5039999999999,338.34999999999997,3.2379856858879538e-21,9.133146984330843e+17,17.960620447023814,0.60589599609375
EleutherAI/pythia-1.4b,1414647808,fp16_batch_bs1,1,9.332433545750483,32235.38580131868,116.5199848953883,0.01165199848953883,0.0012485487769526695,375.60666666666674,334.15,3.1977919814968517e-21,3.904408992758301e+17,17.591555304382613,0.31021809577941895
